x,y,z
6421,-9016,21275
6460,-10415,22022
5772,-11836,22238
6322,-12731,22408
8137,-13775,22533
8608,-14322,20627
8606,-14514,18193
10646,-12683,16105
9687,-12498,14148
10244,-11574,13246
9748,-11037,13529
9370,-10103,14244
9364,-10958,13965
9686,-10805,12110
10368,-8958,9047
10808,-7117,6420
10992,-5576,4722
8661,-3651,3870
7424,-3354,3311
6086,-2794,2843
5203,206,3644
-1566,20441,5816
-1218,23451,-2686
5256,7043,2938
7854,3182,6351
10707,1754,5467
13239,2170,2405
16105,3445,400
17034,2353,165
16163,1150,842
15918,637,2311
14967,-402,3404
15646,-834,4267
13282,3288,8534
12198,5571,9210
12793,3285,7245
13929,1114,8078
17608,-2004,4210
17526,-1669,4405
16231,879,5176
14965,4703,5829
13172,6604,7961
10673,8250,10486
11175,6021,20912
12863,3566,23433
11524,4049,5710
12718,-1124,8326
15577,-2115,10540
15293,-1408,10665
13048,-1570,10144
12052,-1396,9071
11167,4,7869
10915,2085,6308
12886,4349,4716
14438,4971,3784
14480,4458,3370
14066,3914,4010
13236,3832,4885
12450,4612,4473
12967,4636,4685
12141,4644,3285
10908,6580,280
11482,6878,-2451
12153,7714,-3590
12877,10006,-3604
13782,11974,-3293
13658,11231,-2553
13714,10294,-2824
13804,8581,-2708
14440,5891,-2629
16456,2046,-707
22998,-7119,13006
18278,-259,-1927
16933,-831,3442
17779,-1664,5343
15672,-700,2250
15616,534,199
15556,2106,-532
14609,3498,-903
14490,2931,-975
14520,2529,-1425
13723,3483,-1051
12390,7024,-568
11480,11899,-1104
10513,15188,-2405
8738,16221,-3560
7069,15567,-3702
10731,4689,11067
15512,1295,6369
12298,6174,-9927
12663,2731,-2596
9064,3185,-3964
14927,5346,-1895
19159,5982,-5457
17229,7651,-6274
13258,10062,-5350
9621,10897,-5506
7767,10593,-4970
7766,10807,-5239
8960,11559,-7248
11466,12519,-8993
14022,13163,-9694
14300,13288,-9453
13386,12869,-8755
12482,12430,-7540
11581,11881,-5806
8386,7204,-2292
6866,10416,-6382
5802,16914,-5474
1934,16500,-2766
2588,18111,-2381
1139,18821,-1181
-585,18250,-1529
613,16722,-2629
1330,15842,-2586
1238,16820,-2027
1488,16688,-586
