x,y,z
347,21603,-2892
-674,21268,-2555
-1659,20093,-2490
-1753,18770,-2967
-1232,18021,-2932
-1009,17226,-2474
-938,15990,-1966
-1698,15431,-1809
-3423,14978,-1843
-3785,13461,-1170
-3476,11103,-49
-4059,8721,627
-4462,6670,1153
-3947,5167,1584
-2918,3761,1957
-1719,2171,2415
-542,415,2854
292,-1144,3093
1112,-2562,3459
2236,-3762,3790
3205,-4376,4179
3252,-4544,4636
2685,-4857,5087
1641,-4689,5215
356,-4324,5234
-303,-4117,5300
-8,-3526,5402
220,-2071,5544
-379,-420,4942
-579,1131,4554
-1079,2816,4119
-1990,4505,3360
-2483,5745,2728
-2819,7027,2058
-1951,7760,1871
-654,8155,1579
-185,9183,1250
-1109,11202,341
-1849,13869,-834
-1780,16434,-1796
-1580,18996,-2042
-2274,20693,-2546
-2661,23024,-3503
-2711,25268,-4036
-3210,27046,-3912
-3493,29291,-3491
-4157,31479,-3758
-3798,32767,-4951
-3290,32767,-5811
-2340,32738,-6399
-3326,32767,-6441
-5304,32767,-6300
-7007,32766,-6191
-8022,32767,-6078
-8126,32767,-5947
-7540,32767,-5676
-6704,32767,-5444
-5873,32767,-5198
-5647,32316,-4976
-4922,30529,-4722
-4023,28624,-4723
-3529,26932,-4402
-2837,25032,-4044
-2538,23171,-3793
-2738,21551,-3410
-2565,20040,-3021
-1673,18437,-2222
-1350,16935,-1650
-1531,15342,-1120
-1890,13934,-586
-2266,12713,-76
-2338,11178,394
-1976,9323,579
-1260,7583,686
-572,5642,683
-14,3380,1045
583,1335,2074
1067,49,3022
981,-681,3572
682,-511,4066
1225,79,4951
1047,344,5009
241,682,4814
141,1078,4732
373,1060,4672
-375,456,4501
-1153,-296,4626
-1276,-1195,4703
-722,-1868,4815
-291,-2330,5221
169,-2502,5369
396,-1884,5225
270,-753,4771
595,627,4113
711,2262,3038
203,3949,2055
84,5215,1555
668,5675,1305
1690,5631,1230
2495,5909,1081
2469,7179,518
1973,8527,110
1540,10282,-503
123,13198,-1323
-831,15978,-2118
-943,18553,-2643
-1651,20462,-2894
-1156,22322,-2802
-635,24252,-2944
-1296,25818,-3064
-2909,28474,-3717
-4938,32108,-4594
-6090,32767,-5143
-6960,32740,-5809
-7825,32746,-6437
-10363,32767,-6864
-12890,32767,-7232
-13544,32766,-6607
-13165,32767,-5852
-13637,32767,-5551
-14009,32767,-5252
-12640,32767,-4999
-10296,32512,-4679
-8393,30003,-4328
-7145,27181,-4196
-5904,25205,-4041
-4759,23402,-3774
-3688,21631,-3671
-3156,20106,-3673
-3456,18891,-3358
-3677,17658,-3059
-3018,16135,-3090
-1788,14625,-3347
-1504,13044,-3281
-960,11098,-2636
-112,8806,-1657
496,6591,-548
614,4833,470
487,3349,1289
828,1862,2003
1138,948,2832
559,697,3624
-288,678,4267
-508,152,4571
-417,-360,4482
122,-405,4394
682,-740,4449
607,-1537,4731
460,-2617,4795
1242,-3386,4783
1882,-3809,5153
1894,-3866,5094
1562,-2764,4624
595,-833,4089
-293,1096,3314
-87,2397,2409
649,3552,1722
980,4528,1186
1071,5388,702
814,7011,493
-100,8728,566
-1387,9956,630
-2408,11090,436
-3028,11817,102
-2554,12836,-119
-1806,14550,-570
-1416,17014,-1307
-2072,19319,-1623
-3976,20169,-1987
-5200,20200,-1462
-5116,20510,-1404
-4414,20829,-1496
-3352,21244,-2040
-2586,22617,-3178
-2766,25445,-4419
-3003,27903,-5514
-2700,29532,-6642
-2623,31102,-7052
-2681,32589,-7253
-3765,32755,-7060
-4420,32767,-6789
-6183,32767,-6498
-8904,32767,-6355
-11038,32767,-6453
-12158,32767,-6546
-12256,32767,-6565
-11744,32767,-6487
-10116,32767,-6000
-8421,32040,-5530
-7630,29856,-5255
-6747,27722,-5130
-5748,25969,-5106
-4909,24349,-5009
-4369,22880,-4914
-4077,21553,-4776
-3673,20366,-4472
-3339,19166,-4017
-3041,17684,-3396
-2550,15931,-2672
-2254,14035,-1945
-2269,12254,-1182
-2247,10671,-664
-1938,9099,-207
-1460,7516,308
-878,5819,1069
-314,4149,1786
406,2915,2361
888,2206,2872
745,1565,3294
753,938,4040
778,468,4565
444,36,4879
-89,-236,5261
-642,-587,5559
-1094,-1005,5545
-1159,-1413,5325
-562,-1754,4997
269,-2050,4521
1495,-2445,4079
3358,-2392,4072
4316,-1998,4154
3802,-1548,3755
2926,-289,3065
1874,1424,2280
668,2459,1514
-90,2668,1244
93,2476,1536
672,2491,1465
1918,3482,715
2421,5854,-41
1139,8219,-737
-706,9871,-1213
-2941,11619,-1106
-4720,13805,-471
-5449,15686,-171
-4797,16824,79
-4417,17654,250
-4496,18262,436
-3854,19878,-113
-3763,22362,-1043
-4516,25173,-2175
-5075,28440,-3035
-5141,31822,-3780
-5872,32767,-4565
-5783,32767,-5690
-6185,32747,-6650
-6799,32767,-6710
-7497,32767,-6870
-8706,32767,-6899
-9895,32767,-6613
-10968,32767,-6273
-11735,32767,-5615
-11086,32767,-5085
-9097,32742,-4675
-7760,31631,-4622
-6452,29483,-4569
-4870,27511,-4528
-3785,25566,-4349
-3055,23617,-3950
-2488,21952,-3567
-2187,20825,-3137
-2364,20028,-2680
-3043,19000,-2408
-3290,17474,-1880
-3029,15932,-1384
-2649,14454,-884
-2340,13026,-557
-2466,12126,-440
-2673,11174,-269
-2719,9894,138
-2821,8303,646
-2832,6348,1317
-2638,4067,2063
-2093,1901,3028
-1518,476,3877
-1281,-209,4462
-1094,-557,4688
-863,-610,4902
-1086,-419,4974
-1826,-71,4835
-2489,-81,4667
-2617,-480,4565
-2513,-1579,4895
-2214,-3101,5293
-1314,-4462,5379
22,-5460,5121
1790,-6071,5057
3311,-5993,4949
4780,-5269,4605
5081,-3870,3869
4395,-1933,2970
3205,156,1973
1629,2233,623
441,4359,-560
-237,6572,-1022
-200,8324,-1294
29,10061,-1485
-242,11759,-1616
-423,13483,-2100
-469,16229,-2604
-849,19622,-3242
-1545,23305,-3768
-2566,27534,-4538
-4102,31724,-5663
-5273,32767,-6255
-5446,32762,-6073
-5229,32738,-5617
-5016,32767,-5230
-4428,32767,-5143
-5506,32766,-5579
-6937,32767,-5889
-8272,32767,-5874
-9490,32767,-5691
-9763,32767,-5177
-8802,32767,-4564
-7189,32767,-4020
-5768,32508,-3716
-4796,30501,-3526
-3803,28085,-3427
-2897,26280,-3364
-2522,24553,-3269
-2311,22629,-2939
-2263,20687,-2407
-2472,18861,-1899
-1990,17214,-1233
-1781,15474,-521
-1945,13572,308
-1956,12080,961
-2182,11107,1285
-2162,10267,1333
-1384,9176,1321
-571,8093,1218
-124,7016,1594
65,6047,2386
-184,5241,2979
-619,4244,3414
-977,2862,3857
-1158,1300,4414
-1298,-125,5081
-1416,-1402,5462
-1411,-2388,5649
-1200,-3147,5748
-778,-3967,5821
-501,-4739,5958
-223,-5401,6049
536,-6035,6027
1360,-6419,6099
1594,-6464,5926
2061,-6165,5311
2609,-5260,4237
2880,-4257,3358
2747,-3339,2223
2356,-2101,1273
2431,-791,512
2754,1100,124
2011,3534,-418
760,6073,-1248
-1034,8643,-1900
-2957,10896,-2516
-4022,13037,-2736
-5055,15365,-2618
-5736,18005,-2485
-5867,21128,-2706
-6076,24758,-3322
-7176,27672,-3680
-8309,29168,-3578
-8136,30983,-3510
-8214,32767,-3758
-8518,32767,-4334
-8624,32736,-5318
-8953,32765,-6409
-9109,32767,-7169
-10560,32766,-7240
-12342,32767,-6637
-13362,32767,-5513
-13207,32767,-4210
-11941,32767,-3429
-10467,32767,-3146
-9193,32616,-3270
-7780,31216,-3653
-6514,29471,-4027
-5681,27766,-4181
-4465,25731,-4102
-3285,23357,-3830
-2427,20974,-3297
-1914,18979,-2804
-1399,17305,-2280
-972,15790,-1676
-999,14368,-1069
-1391,13269,-634
-1800,12128,-161
-2283,10439,315
-2576,8199,890
-2267,5635,1277
-1359,3087,1711
-241,1197,2384
946,147,2890
1907,-332,3255
2436,-871,3728
2121,-1400,4167
