x,y,z
6203,20212,-3531
6069,19693,-3310
5622,18917,-2952
5613,18877,-2455
5843,19710,-2076
5257,20534,-1853
3973,21020,-1740
2171,21696,-1825
830,22138,-2248
634,22918,-2877
833,23497,-2974
922,23669,-2880
384,23379,-2668
-455,23217,-2365
-1205,23344,-2263
-2106,23873,-2505
-3137,24699,-2675
-4736,25366,-3102
-6156,26200,-3646
-6914,27201,-3907
-7857,27667,-4024
-8532,27705,-4067
-9260,27742,-4220
-10196,27940,-4401
-11485,27754,-4563
-12448,27091,-4669
-13020,26141,-4681
-13250,24900,-4466
-12922,23570,-3960
-12438,22344,-3412
-12182,21320,-3071
-12314,20345,-2534
-12041,19233,-1770
-11830,18337,-1067
-12488,17798,-801
-13405,17243,-536
-13889,15993,99
-13874,15274,559
-13394,14959,474
-12540,14575,93
-11485,14257,-368
-9924,14136,-664
-8615,13993,-642
-7874,13664,-557
-8036,13167,-165
-8802,12703,380
-9300,12095,706
-9259,11514,1096
-8893,11039,1484
-8527,10069,1483
-7702,8989,1669
-6801,8069,2120
-6266,7023,2511
-5741,6204,2894
-5246,5828,3193
-4886,5712,3327
-4309,5633,3460
-3722,5546,3626
-3195,5333,3446
-2444,5521,3204
-1951,5783,2899
-1421,6259,2307
-852,6591,1844
-279,6333,1753
189,5538,2093
547,4839,2587
725,4089,2831
833,3777,2744
1124,3907,2693
2089,3845,2791
3691,4146,2696
5264,4926,2209
6563,6355,1683
6815,7699,1424
6013,8421,907
5587,9183,-69
6017,10132,-837
7462,10960,-1303
9201,12410,-1479
9689,14309,-1800
8963,16078,-2101
7830,17010,-2532
7017,17253,-3195
7352,16696,-3084
8637,15646,-2461
10266,15320,-1954
10874,16185,-1572
9414,17554,-1492
7173,18907,-1560
5336,19963,-1981
3977,20356,-2470
3254,20358,-2588
3756,20659,-2263
4363,21503,-2137
3264,22353,-2073
1876,22959,-1644
380,23249,-1113
-1013,23327,-779
-2115,24091,-677
-3721,25332,-391
-5489,26341,-764
-6712,26706,-1751
-6079,27535,-1983
-5809,28152,-2195
-6244,28281,-2820
-7298,28202,-3295
-8895,28459,-3616
-10884,29302,-4541
-12369,29676,-5164
-12732,29004,-4941
-12759,27991,-4987
-12789,26515,-4865
-12561,24533,-4153
-11915,22758,-3542
-11643,21823,-3175
-11604,21183,-3009
-11397,20688,-2586
-11908,19918,-2142
-12812,19183,-1549
-13842,18727,-765
-14558,17698,-343
-14546,16401,-5
-13850,14869,758
-13093,13407,1454
-12742,12321,2250
-13022,11276,2911
-13293,10885,2947
-12984,10954,2437
-12454,10967,1471
-11632,10819,674
-10261,10251,178
-8944,8958,-8
-7795,7628,361
-6393,6485,860
-4972,5624,1130
-3602,5146,1195
-2496,5052,1463
-2231,5097,1447
-2202,5161,1551
-2141,4842,1582
-1758,4326,1738
-1084,3566,2067
-490,2862,2489
307,2602,2835
1386,2638,3083
2217,2767,3512
2670,3115,3803
2948,3781,3865
2915,4923,3648
1902,6148,3413
548,7227,3149
306,8309,2888
1612,9005,2540
3357,9599,2391
4396,10644,2056
4119,12381,1632
2588,13919,1005
1547,14879,319
1415,15329,-394
2333,15378,-655
3933,14961,-364
6107,14664,103
7663,15199,370
8509,16209,219
8846,17309,-420
8480,18527,-996
7523,19497,-1487
6601,20164,-1801
6276,20112,-1838
6647,19379,-1903
8255,18708,-1461
10205,18769,-1125
10922,19693,-1454
9301,20517,-2005
6495,20882,-2685
4636,21320,-2759
3600,21515,-2660
3848,20935,-2363
5529,20523,-1952
5507,19824,-2002
4698,20136,-2650
3363,20749,-2981
2158,21588,-3222
1329,22006,-3590
379,22225,-3872
-1043,22147,-3627
-2439,21527,-3070
-3244,20956,-2868
-3918,20680,-3216
-3867,20874,-3430
-4032,21400,-3612
-4759,21738,-3746
-5700,22274,-4064
-6989,23173,-4456
-8843,24007,-4325
-10852,24532,-4050
-13100,24878,-4022
-14880,25200,-3794
-16158,24955,-3427
-16674,24221,-3204
-16394,23131,-2940
-15890,22028,-2512
-15434,20758,-2019
-15258,19503,-1590
-15023,18466,-1457
-14247,17450,-1453
-13026,16732,-1388
-12532,15866,-1407
-12522,14923,-1496
-12381,14204,-1376
-12047,13623,-1336
-11531,12803,-1168
-10983,12041,-819
-10450,11259,-534
-9665,10629,-242
-8853,10310,-263
-8079,10032,-685
-7086,10055,-847
-6545,9796,-305
-6577,8914,210
-6584,7770,429
-6153,6868,481
-5357,6118,564
-4596,5433,653
-3626,5044,658
-2379,5054,287
-1057,5595,129
-222,5851,-195
618,6186,-540
1609,6602,-745
2326,6506,-813
3036,6123,-634
4178,5836,-326
5849,6133,-500
7758,7036,-807
9230,8464,-1394
9414,10420,-2122
8843,11932,-2482
7861,13132,-2706
6907,14334,-2908
6328,14811,-2909
6627,14973,-2833
7887,14978,-2719
9477,15149,-2676
10978,15743,-2825
11999,16887,-3148
11442,18028,-3576
9439,19164,-3905
8012,20065,-3893
7933,20676,-4002
8469,20872,-3929
9262,20828,-3446
9725,20676,-2830
9761,20322,-2282
9289,20051,-2025
8979,20167,-1852
8613,20706,-1819
7721,21537,-1831
6020,21694,-1744
3660,21714,-1764
2004,22433,-2059
656,23428,-2422
-654,24005,-2839
-1651,24868,-2938
-3299,25584,-3225
-5578,25728,-3214
-7493,25682,-2752
-9690,25144,-2298
-11093,24574,-1202
-12608,23946,-694
-13419,23127,-358
-13854,22356,114
-14050,21615,376
-13839,20697,419
-13571,20220,237
-13902,19857,-218
-14115,19478,-632
-13798,19077,-1024
-12977,18465,-1416
-11777,18211,-1616
-11069,17690,-1705
-10374,16739,-1473
-9442,16277,-1334
-8963,16017,-1521
-10111,14682,-1297
-10241,13583,-320
-10015,12735,98
-9993,11884,330
-9868,11432,638
-9720,10916,570
-9223,10724,88
-8391,11233,-272
-7912,11614,-551
-7751,11554,-580
-7437,11001,-576
-6787,9895,-340
-5846,8722,183
-5241,7814,379
-4863,7497,685
-4820,7476,795
-4785,7984,618
-4460,8520,528
-4145,8766,458
-3623,8882,360
-3012,8586,600
-2705,7911,1044
-2347,7061,1463
-1610,6042,1834
-424,5286,2245
1383,5356,2241
3220,5992,1855
4377,7310,1345
4831,8405,781
4757,8986,105
4572,9634,-523
4374,10137,-1073
4479,10498,-1286
5257,11071,-1611
6618,11652,-1445
7564,11838,-1038
8105,12212,-924
8078,13088,-1282
7261,14484,-1972
6359,16260,-2568
5340,17515,-2922
4964,17615,-2692
6250,17247,-2361
7887,16963,-2121
9141,16588,-2064
10226,16454,-2037
10890,17867,-2431
9353,19422,-3331
6771,19751,-3304
6772,20660,-2971
6685,21096,-3080
7074,21416,-3264
7011,21814,-3373
5907,21950,-3496
4224,22628,-3897
2515,23480,-4214
1538,24179,-4388
1052,24023,-4430
1172,23293,-4320
1479,22547,-4148
1379,22345,-3868
82,22329,-3556
-1881,22465,-3254
-3746,22790,-3004
-5457,23079,-2742
-7035,23522,-2556
-8503,23987,-2443
-10015,24230,-2296
-11504,24212,-1914
-13328,23173,-1589
-13642,22109,-575
-13134,21559,-429
-12592,20862,-440
-12570,20689,-174
-13050,20915,-361
-13397,20754,-730
-13488,20209,-919
-13413,19263,-1132
-12973,18313,-1305
-12094,17726,-1355
-11097,17476,-1828
-10411,17369,-2362
-9757,16922,-2502
-9134,16452,-2523
-8962,15883,-2315
-8976,15263,-2019
-8958,14737,-1590
-9187,14093,-1083
-9581,13213,-580
-9748,12464,-109
-9639,11671,268
-9234,10858,645
-8760,9982,972
-8388,9206,1254
-8010,8588,1465
-7352,8450,1397
-6699,8388,1004
-6201,8388,672
-5955,8492,593
-5260,8379,548
-4004,8020,651
-2926,7504,927
-2468,6905,1190
-2315,6366,1367
-2007,6125,1333
-1733,6215,1155
-1281,6198,1141
-336,5914,983
1371,6365,492
2872,7187,234
3637,7285,495
3994,7201,1071
4310,7252,1380
4465,7657,1286
4487,8573,1045
4440,9517,919
4416,10061,1102
4758,10143,1206
5269,10162,1473
5657,10359,1636
5934,10633,1480
6406,11417,1314
6432,12312,1368
6402,13175,1148
7263,13832,632
8434,14405,95
9380,14936,-291
10104,15595,-719
10329,16653,-1068
9962,18000,-1235
10090,20143,-2404
8837,19773,-2040
8803,20172,-1346
8753,20987,-1645
8553,21507,-1725
8229,22211,-2185
7569,22961,-2677
6665,23099,-3042
6409,23360,-3211
6346,23565,-3447
5956,23393,-3580
5110,23390,-3790
3528,23537,-3773
1673,23544,-4187
126,22865,-3678
-854,22690,-3196
-2096,23210,-3409
-3830,23550,-3599
-5567,23924,-3425
-7225,24402,-3205
-9161,25063,-2975
-11395,25732,-3049
-13013,26218,-3356
-13672,26118,-3295
-13674,25414,-2916
-12995,24491,-2341
-12426,23418,-1756
-12336,22353,-1413
-11974,21683,-1162
-11918,21306,-1447
