x,y,z
-30720,23875,-5673
-24831,21490,-4163
-19614,19121,-3183
-15344,16846,-2456
-11443,14701,-1441
-7024,12660,430
-1342,9723,2232
4254,6673,2752
9632,5463,2932
14646,4263,2951
18800,2876,2835
22626,1896,3252
26428,1325,4115
30257,-133,4828
32767,-2229,5740
32767,-3056,6902
32723,-3741,7533
32396,-4535,7458
29475,-3704,6697
26110,-2093,5411
22145,443,3013
17182,4290,-50
11727,8183,-3407
4313,13488,-7897
-6479,19399,-11919
-19231,23954,-13986
-30125,27329,-13414
-32768,28857,-10650
-32768,28373,-7118
-32695,26579,-3907
-32768,24490,-2646
-32768,22175,-2599
-32701,19951,-1653
-29876,18581,-63
-23086,17247,1226
-15835,15370,1995
-9428,13920,2024
-3901,13024,2344
1680,11145,2864
6316,9858,3057
9545,8418,3678
12125,6940,4285
15649,5345,5040
20229,3272,5728
25498,2357,6105
30138,1946,6586
32767,613,6862
32767,176,6997
32723,-550,7305
32399,797,6299
29097,2785,4943
24017,3027,3408
19083,4704,1721
13783,7876,-616
7087,10606,-3734
-966,13712,-6548
-9892,17651,-7348
-18431,20109,-6331
-25230,21467,-6798
-30984,23236,-7988
-32768,27470,-2269
-32768,28255,-1148
-32719,25383,-5484
-32768,23319,-7226
-32022,22484,-7203
-26915,20378,-6583
-20599,18022,-4782
-14198,15544,-2988
-7934,12831,-1141
-2126,9908,919
3517,7291,3051
8915,5564,4024
13921,4466,3498
18911,4109,2948
24023,4035,3084
29006,3401,3901
32568,2506,4866
32767,2711,5695
32725,2258,5862
31935,1537,5577
28795,1707,5686
24625,2068,5666
20449,2898,4934
15477,4891,3001
9795,7668,-549
3568,10805,-4207
-3488,14902,-6527
-11859,18355,-6646
-21645,20912,-5407
-30781,23298,-4113
-32147,26217,-2756
-32712,26443,-2027
-32768,26075,-2684
-32758,25865,-2985
-32623,23598,-2110
-28402,20803,-1211
-21279,18777,-454
-16157,17354,-235
-11741,16190,-385
-6884,14672,-361
-1070,12701,530
5141,10799,936
10615,8998,1405
14942,7495,2527
17595,6646,3289
21008,6344,4773
26632,5240,8882
27705,4562,7178
26943,4294,5662
24706,3684,6717
23713,3466,4305
23862,3784,3563
22027,2365,6005
18786,767,6938
17286,2718,6028
14544,5620,5320
9962,8700,3251
5840,14390,1626
799,18558,-410
-4874,19157,-13359
-12070,20812,-18854
-18559,26591,-14461
-24008,27625,-14933
-30306,25093,-15115
-32768,24073,-13001
-32768,24048,-11210
-30470,23804,-10178
-25533,23862,-8748
-20620,23216,-6079
-14937,21619,-2185
-8745,18629,-15
-4039,16463,991
163,14741,1112
3485,12956,1473
6747,10889,2628
10344,7841,3314
14549,5913,5199
19090,4708,7332
22417,3746,8302
24289,3230,8418
24930,3216,8152
24535,2897,8076
23606,2234,8114
21768,2878,7294
18889,5296,6046
15250,7828,4944
11069,10664,3964
6080,13100,2570
-429,16043,251
-7426,18849,-1834
-14025,20600,-3436
-20367,22354,-4522
-25743,22909,-4720
-29434,22513,-4302
-30321,22917,-3325
-28230,22259,-2203
-24113,21275,-1757
-19441,21180,-1061
-14850,20168,-666
-10653,19368,-983
-6737,18186,-630
-1898,16046,467
2920,13697,1772
5920,10929,2991
8975,8865,4403
13022,7018,5612
16528,4889,6397
21050,3899,6543
24916,4455,5629
27471,5026,4888
29108,4973,5004
29187,4593,5766
28104,4544,6669
25185,5394,6692
21581,6783,5709
18360,8609,3722
14330,10699,1470
8429,12585,-913
551,14712,-3316
-8845,17245,-5206
-19484,19680,-6029
-29714,21262,-5267
-32768,20946,-3515
-32768,21526,-2183
-32688,22532,-1345
-31408,21101,-1069
-25908,20085,1079
-20862,19635,2697
-16864,18152,3339
-12126,16543,3102
-7028,15401,2491
-2822,14249,1726
441,12649,1163
4292,10893,985
8483,9049,1220
12694,7440,1870
17531,6072,2675
22685,4802,3630
27023,4537,4442
30064,4830,5013
31768,5228,5596
32188,6403,6012
29620,7417,5776
25198,7781,5118
21025,7762,4800
16865,8316,3779
11995,9462,1809
6287,11003,-85
-591,12626,-1803
-8830,14699,-3307
-17678,16690,-4102
-25631,19072,-4785
-32195,22047,-5249
-32768,22825,-4615
-32695,22409,-3624
-32108,21245,-1872
-27379,19548,232
-22132,18690,1674
-18135,17990,2464
-14689,17511,2633
-11731,17284,2330
-9500,16186,1138
-6955,14652,764
-4142,12867,1120
-1110,10990,1460
1862,9500,1730
5478,7778,1724
10592,6834,1328
16142,6208,876
21439,5967,1326
26510,5680,2571
30527,5647,4076
32613,5438,5313
32767,5136,6360
32060,5405,7127
28475,6104,6459
23515,6998,4737
19453,8472,3148
15490,10214,1465
10562,11568,-604
4204,13773,-3151
-4781,16061,-5258
-16110,16656,-6397
-26430,17340,-6089
-32768,20013,-5946
-32768,21076,-4454
-32657,21493,-2525
-32761,20204,-1660
-31049,19477,1220
-24499,18654,3221
-18710,18015,4076
-15690,16884,2911
-12544,15347,2196
-8589,13992,2263
-3845,12021,2631
1276,10031,2739
5875,8601,3320
10727,6961,4009
16427,6173,4084
21591,6004,3920
26174,5798,4571
30210,5981,5549
32767,6796,5939
32767,7325,5783
32154,7699,5854
28509,7706,5242
23326,7704,3849
18802,8581,2482
14312,9533,925
9169,10945,-867
2113,12187,-2459
-5859,13767,-3602
-15033,15321,-4715
-25505,17357,-5914
