x,y,z
-387,19314,-3912
-528,17098,-3651
-570,14955,-3165
-620,12399,-2557
-1103,9306,-1848
-1530,6692,-441
-1509,4637,782
-1448,2935,1840
-1724,1587,2634
-1882,620,3240
-1878,-85,3612
-1532,-933,3971
-802,-2072,4302
-318,-3144,4759
-172,-3791,5212
87,-4401,5712
341,-5038,5892
496,-5344,5902
611,-5410,5640
375,-5071,5149
221,-4660,4900
138,-4549,5000
252,-4582,5149
723,-4144,5020
1094,-3355,4656
1493,-2325,3939
1644,-674,3327
1792,1062,2836
1783,2889,2037
1764,4864,1194
1822,6736,280
1797,8603,-173
996,10028,-260
393,11430,-289
253,12911,-214
164,14214,-315
437,15382,-231
1022,16590,-491
920,17824,-1196
1134,20655,-2142
1053,25189,-3583
261,30570,-5989
401,32681,-5148
1440,32767,-6598
1440,32740,-7810
1538,32761,-8140
826,32767,-8171
-1065,32767,-7976
-3380,32767,-8166
-5444,32767,-8294
-6990,32767,-8095
-7608,32767,-7458
-6893,32767,-6495
-5416,32767,-5509
-3932,31848,-4468
-2629,28689,-3883
-1492,25859,-3790
-213,24157,-3822
624,22809,-3847
1023,21641,-3776
1441,20578,-3659
1656,19394,-4163
1862,17654,-4628
2101,15692,-4411
2203,13962,-3969
1931,12034,-3213
1487,10016,-2454
1074,8380,-1987
484,6796,-1261
259,5441,-25
439,4055,934
363,2661,1677
8,1527,2509
-17,288,3398
-163,-1171,4158
-241,-2220,5229
-206,-2872,6245
-535,-3128,6900
-1088,-3020,7215
-1645,-2765,7071
-2076,-2546,6808
-2175,-2008,6444
-1761,-1377,6287
-1124,-1143,6220
-722,-1316,6398
-669,-1416,6553
-1009,-1363,6470
-1242,-949,6185
-920,60,5785
-565,1080,5015
-636,1917,4219
-814,2842,3321
-481,3702,2274
295,4019,1298
1616,4691,444
3038,5675,-508
3840,6975,-1144
4167,8130,-1430
4399,9105,-1507
4705,10380,-1277
4212,11933,-1115
2365,13858,-2309
1463,16553,-2874
348,19533,-3798
313,23527,-5635
-236,25952,-4959
1243,29113,-5131
1888,30914,-6889
2844,32692,-7727
2921,32767,-8515
2141,32740,-9644
-260,32762,-10902
-3633,32767,-11879
-6862,32767,-12220
-9046,32767,-11603
-9739,32767,-10258
-9050,32767,-8579
-7443,32767,-7172
-6033,32654,-6153
-4285,29980,-4992
-2162,25621,-4096
-97,23081,-3351
556,22118,-3648
1350,21550,-3857
2222,21167,-4269
2608,20763,-4492
2763,19822,-4444
2656,18141,-4479
2049,16246,-4247
2011,14242,-4100
2331,12285,-3985
2625,10210,-3491
2809,8076,-2656
2495,5882,-1755
1596,3883,-195
1245,2286,1364
636,1057,2138
-394,148,2662
-1092,-705,3155
-1271,-1430,3609
-886,-2190,4038
-351,-3023,4308
-11,-3523,4135
616,-3215,3731
577,-2458,3575
72,-2101,3667
-61,-2238,3668
-103,-2227,3850
-957,-2287,4016
-1592,-1906,3936
-1395,-777,4019
-1160,581,3884
-1084,2223,3333
-524,3711,2761
608,4771,2420
1628,5549,1861
2518,6525,1381
3068,7665,1234
2963,8954,1213
1738,10447,1054
170,11978,946
-852,13113,1038
-835,13594,1248
-518,13705,1398
-655,13780,1389
-971,13796,1343
-361,14083,972
1041,15708,356
1435,18301,-554
1100,21097,-1643
668,24102,-3202
-68,25433,-3289
976,26929,-3332
848,25596,-3646
2217,24799,-3630
3198,26274,-3787
2498,28508,-4350
1724,31152,-5173
1702,32767,-5971
1070,32767,-6826
-305,32737,-7909
-1885,32767,-8481
-3149,32767,-8413
-4692,32766,-8360
-6120,32767,-8059
-6448,32767,-7760
-5439,32767,-7666
-3812,32159,-7408
-2777,29473,-6837
-1823,26902,-6312
-922,25437,-6007
-550,24450,-6017
-254,23623,-5987
-134,22634,-5858
-320,21075,-5508
-613,19101,-5059
-837,17112,-4412
-875,15235,-3565
-686,13216,-2979
-829,11598,-2815
-1085,10584,-2335
-1033,9645,-1225
-1163,8068,-660
-758,6515,-795
277,5754,-423
217,4791,635
-594,3038,1666
-1510,1125,2875
-2172,-448,3893
-1790,-1698,4752
-984,-2233,5304
-257,-2431,5278
608,-2699,5107
1625,-3003,5227
2245,-3269,5224
2835,-2874,4810
