x,y,z
-11142,16764,-2524
-10758,15326,-1920
-9869,14032,-1218
-9178,12906,-393
-8869,12029,-54
-8206,11785,-171
-7651,11858,-39
-7850,11721,35
-8299,11586,188
-8947,11404,294
-9448,10925,389
-8950,10268,1062
-8277,9708,1755
-8045,9298,2301
-7274,9038,2649
-6674,9078,2766
-6754,8854,2835
-6734,8220,2954
-6324,7742,2992
-5481,7416,3061
-4291,7086,3087
-2997,6584,3069
-1347,6309,2911
249,6179,2726
1229,5896,2648
1832,5399,2800
2205,4787,2772
2596,4458,2737
3413,4761,2659
4246,5617,2480
4983,6592,2266
5572,7028,1897
6020,7221,1826
6350,7357,1838
7271,7595,1805
8055,8005,2060
8292,8633,2181
8359,9963,1944
8508,11517,1538
8134,12679,1124
7439,13153,842
7300,13153,831
8029,12850,830
9960,13456,469
10694,15072,394
9462,16399,-22
8340,17429,-660
8078,17910,-776
8318,17461,-591
8802,16689,62
9506,15993,811
9575,15765,1517
8362,15940,1687
7196,16261,1012
7012,17189,247
7677,18682,-819
8340,21036,-1460
7019,23325,-1973
4215,25385,-2422
1455,26867,-2407
-642,27381,-2259
-1835,27460,-2029
-2237,27854,-2279
-3388,28904,-2894
-5033,30384,-4076
-6602,31366,-5122
-7296,31926,-5440
-7909,32234,-6268
-8451,32190,-6924
-9278,31149,-6897
-9897,29472,-6471
-9982,27705,-5925
-9471,26022,-5423
-8706,24498,-4852
-7891,22884,-4422
-7184,21537,-3925
-6941,20539,-3274
-7366,19337,-2588
-8399,17910,-1786
-8933,16714,-1399
-8912,15836,-1017
-9032,14860,-468
-9427,13850,59
-9709,13257,611
-10130,12738,1035
-10359,12228,1392
-10187,11931,1582
-9846,11580,1580
-9474,11062,1686
-8797,10879,1333
-8101,10959,804
-7465,10814,703
-6756,10484,1007
-6301,9830,1368
-5848,9260,1996
-5559,8885,2513
-5505,8307,2991
-5319,7808,3427
-5137,7425,3792
-4937,7153,4066
-4723,7398,4003
-4356,7911,3458
-3709,8653,3090
-3297,9214,2877
-3215,9162,2808
-2800,8776,3032
-2317,7966,3317
-1832,6884,3796
-760,6088,4407
763,5517,4682
2246,5312,4665
3054,5388,4497
3316,5936,4378
3540,6704,4293
4003,7472,3834
4574,8410,3253
5072,9223,2906
5182,9838,2468
4740,10517,2168
3969,11076,1954
3621,11631,1803
3808,11626,1760
4637,11271,1708
6173,11379,1470
7784,12020,933
9260,12856,330
10228,14153,-274
10172,15270,-863
8887,15323,-1050
7603,15102,-957
7686,15180,-820
8218,15162,-805
8732,14960,-772
9395,14888,-1036
9846,15368,-1379
9805,16601,-1891
9030,18100,-2605
7445,19541,-3145
6142,20732,-3313
5337,21684,-3534
4763,22292,-3641
4288,22449,-3954
4119,21221,-3467
5531,21170,-2880
5940,22062,-2716
4531,22984,-2941
2639,23909,-3603
1861,25226,-4092
627,26366,-4756
-735,27350,-4727
-2791,28263,-4798
-5051,29430,-5212
-6832,30635,-5647
-7903,31009,-5822
-8543,30229,-5749
-8784,29022,-5681
-8646,27909,-5604
-8609,26898,-5403
-8921,26167,-5137
-9338,25337,-5021
-9294,24125,-4812
-9007,22914,-4386
-8992,21480,-4063
-9287,20223,-3714
-9219,19357,-3266
-8821,18352,-2807
-8646,17149,-2216
-8953,16104,-1822
-9207,15082,-1237
-9399,14029,-571
-9295,12944,-162
-8965,12075,322
-8627,11549,701
-8367,11496,714
-8092,11503,632
-7515,11338,600
-7022,10905,698
-6642,10303,1029
-6360,9889,1494
-6426,9631,1893
-6770,9461,2105
-6791,9108,2198
-5985,8802,2311
-4794,8285,2517
-3908,7700,2531
-2887,7791,2361
-2086,8002,2417
-1890,7781,2614
-1699,7592,2977
-1520,7214,3324
-1371,6802,3635
-1287,6530,3686
-1274,6350,3620
-1063,6265,3708
-563,6207,3787
558,6040,3764
2009,6018,3653
3857,6530,3541
5326,7463,3364
5217,8691,2945
3989,9878,2618
3248,10881,2248
2966,11287,2137
3176,11179,2028
4063,11044,1953
4699,11037,1938
4716,10660,2079
5141,10161,2283
5973,10032,2332
6469,10184,1757
6951,10720,596
7845,11745,-176
8892,12551,-755
9469,13515,-1165
9435,14594,-1376
8898,15415,-1821
7983,16061,-2270
7187,16694,-2425
6585,17017,-2559
6411,17186,-2809
7774,17621,-2846
8536,18331,-3028
7631,19198,-3543
7299,21245,-4317
5763,22228,-5297
4438,22528,-5193
4218,22971,-5026
4729,22751,-4541
5011,22374,-4393
4482,22552,-4462
3047,23066,-4544
1668,23979,-4587
346,25568,-4908
-1838,27463,-5465
-3804,28753,-6137
-4912,29588,-6752
-6238,29673,-7060
-7029,29063,-6677
-7793,28371,-6490
-8709,27998,-6477
-9472,27435,-6419
-10108,26947,-6264
-10487,26571,-6516
-10498,25777,-6369
-9981,25195,-6334
-9931,24079,-6241
-10172,22405,-5693
-10455,20775,-4643
-10481,19280,-3842
-10297,17815,-3196
-10871,16059,-2354
-9414,15674,-1313
-9514,14551,-964
-9701,13794,-251
-8710,14232,-201
-8959,14220,-856
-9885,13354,-468
-9757,12750,-33
-8792,12062,198
-7970,11107,711
-7494,9910,1533
-7117,8995,2333
-6736,8588,2704
-6775,8504,3068
-6922,8815,3166
-6777,8969,3043
-6256,8962,3023
-5386,8630,3132
-4315,8062,3346
-3372,7555,3336
-2862,7219,3462
-2525,7358,3707
-2493,7616,3710
-2477,8039,3535
-2175,8575,3274
-1718,8783,3086
-1395,8306,2859
-1145,7569,2906
-597,6983,3076
413,6653,3079
1735,6827,3115
2738,7162,2946
3736,7538,2837
4500,8129,2599
4666,9021,2317
4264,9913,2081
3803,10337,1896
3486,10326,1953
3521,9818,2080
3897,9312,1930
4601,9044,1518
5786,9112,986
6987,9723,584
7862,10723,456
7619,12180,87
6583,13461,-592
6033,14279,-1092
5862,14413,-1134
5434,13760,-1188
6007,13340,-1078
7514,13838,-1132
8167,15033,-1891
7671,16057,-2808
7241,16992,-3630
7293,17926,-4404
7856,19213,-4738
7302,20343,-5212
5362,20401,-4883
4791,20836,-4160
4227,20708,-3678
4322,20457,-3311
5041,20303,-3244
5414,20674,-3526
4788,21740,-4058
3734,22781,-4822
2930,23902,-5671
2885,25628,-6483
1857,26567,-7322
